"Category Id";"Category Name"
"1011619";"Pet Supplies / Dogs / Flea & Tick Control"
"1011630";"Pet Supplies / Dogs / Food"
"1011642";"Pet Supplies / Dogs / Grooming"
"1011667";"Pet Supplies / Dogs / Health Supplies"
"1011703";"Pet Supplies / Dogs / Toys"
"1011747";"Pet Supplies / Fish & Aquatic Pets / Aquarium Cleaners"
"1011753";"Pet Supplies / Fish & Aquatic Pets / Aquarium Décor"
"1011766";"Pet Supplies / Fish & Aquatic Pets / Aquarium Pumps & Filters"
"1011779";"Pet Supplies / Fish & Aquatic Pets / Aquarium Water Treatments"
"1011780";"Pet Supplies / Fish & Aquatic Pets / Aquariums & Fish Bowls"
"1011784";"Pet Supplies / Fish & Aquatic Pets / Automatic Feeders"
"1011786";"Pet Supplies / Fish & Aquatic Pets / Food"
"1008073";"Phones & Tablets / Accessories / Batteries"
"1008077";"Phones & Tablets / Accessories / Bluetooth Accessories"
"1008242";"Phones & Tablets / Accessories / Car Accessories"
"1008159";"Phones & Tablets / Accessories / Cases"
"1008124";"Phones & Tablets / Accessories / Chargers & Power Adapters"
"1008231";"Phones & Tablets / Accessories / Headsets"
"1008136";"Phones & Tablets / Accessories / Phone Charms"
"1008137";"Phones & Tablets / Accessories / Portable Speakers & Audio Docks"
"1008143";"Phones & Tablets / Accessories / Screen Protectors"
"1008155";"Phones & Tablets / Accessories / Smart Watches"
"1008156";"Phones & Tablets / Accessories / Styluses"
"1008169";"Phones & Tablets / Tablet Accessories / Bags, Cases & Sleeves"
"1008175";"Phones & Tablets / Tablet Accessories / Chargers & Adapters"
"1008181";"Phones & Tablets / Tablet Accessories / Screen Protectors"
"1008184";"Phones & Tablets / Tablet Accessories / Styluses"
"1008250";"Phones & Tablets / Tablets / iPad Tablets"
"1008272";"Phones & Tablets / Tablets / Other Tablets"
"1029456";"Services / Deals / Special Deals"
"1029446";"Services / Events / Stage Play"
"1029458";"Services / Gift Cards / Travel Gift Cards"
"1029451";"Services / Insurance / Device Protection"
"1029452";"Services / Insurance / Education Insurance"
"1029454";"Services / Insurance / Health Insurance"
"1029448";"Services / Insurance / Life Insurance"
"1029449";"Services / Insurance / Motor Insurance"
"1029453";"Services / Insurance / Property Insurance"
"1029440";"Services / Professional Offers / Auto"
"1029443";"Services / Professional Offers / Business"
"1029441";"Services / Professional Offers / Domestic"
"1029442";"Services / Professional Offers / Medicals"
"1008296";"Toys & Games / Action Figures & Statues / Playsets & Vehicles"
"1008396";"Toys & Games / Baby & Toddler Toys / Rattles"
"1008424";"Toys & Games / Dolls & Accessories / Dolls"
"1008439";"Toys & Games / Dress Up & Pretend Play / Costumes"
"1008475";"Toys & Games / Games / Board Games"
"1008476";"Toys & Games / Games / Card Games"
"1008717";"Toys & Games / Kids' Electronics / Electronic Learning Toys"
"1008744";"Toys & Games / Kids' Furniture, Décor & Storage / Backpacks & Lunch Boxes"
"1008828";"Toys & Games / Learning & Education / Musical Instruments"
"1009090";"Toys & Games / Tricycles, Scooters & Wagons / Bike Accessories"
"1009092";"Toys & Games / Tricycles, Scooters & Wagons / Kids' Bikes"
"1009103";"Toys & Games / Tricycles, Scooters & Wagons / Ride-On Toys"
"1020719";"Automobile / Car Care / Exterior Care / Cleaners"
"1020737";"Automobile / Car Care / Interior Care / Vacuums"
"1020741";"Automobile / Car Care / Tire & Wheel Care / Tire Care"
"1020762";"Automobile / Car Electronics & Accessories / Car Electronics / Car Audio"
"1020784";"Automobile / Car Electronics & Accessories / Car Electronics / Car Safety & Security"
"1020793";"Automobile / Car Electronics & Accessories / Car Electronics / Car Video"
"1020804";"Automobile / Car Electronics & Accessories / Car Electronics / In-Dash Mounting Kits"
"1020805";"Automobile / Car Electronics & Accessories / Car Electronics / Installation Accessories & Harnesses"
"1020835";"Automobile / Car Electronics & Accessories / Car Electronics / Radar Detectors"
"1020836";"Automobile / Car Electronics & Accessories / Car Electronics / Two-Way Radios"
"1020839";"Automobile / Car Electronics & Accessories / Car Electronics Accessories / Audio & Video Accessories"
"1020854";"Automobile / Car Electronics & Accessories / Car Electronics Accessories / GPS System Accessories"
"1020905";"Automobile / Exterior Accessories / Covers / Full Car Covers"
"1020980";"Automobile / Exterior Accessories / Towing Products & Winches / Hitch Accessories"
"1021019";"Automobile / Exterior Accessories / Towing Products & Winches / Tow Hooks & Straps"
"1021035";"Automobile / Exterior Accessories / Towing Products & Winches / Winch Accessories"
"1021113";"Automobile / Interior Accessories / Covers / Seat Covers"
"1021125";"Automobile / Interior Accessories / Floor Mats & Cargo Liners / Floor Mats"
"1021305";"Automobile / Motorcycle & Powersports / Accessories / Battery Chargers"
"1021352";"Automobile / Motorcycle & Powersports / Fluids & Maintenance / Lubricants"
"1021640";"Automobile / Motorcycle & Powersports / Protective Gear / Helmets"
"1021669";"Automobile / Oils & Fluids / Additives / Engine & Oil"
"1021712";"Automobile / Oils & Fluids / Oils / Gear Oils"
"1021713";"Automobile / Oils & Fluids / Oils / Hydraulic Oils"
"1021729";"Automobile / Oils & Fluids / Winter Products / Gas Line Antifreezes"
"1021810";"Automobile / Replacement Parts / Batteries & Accessories / Batteries"
"1021811";"Automobile / Replacement Parts / Batteries & Accessories / Battery Accessories"
"1021868";"Automobile / Replacement Parts / Bearings & Seals / Seals"
"1021932";"Automobile / Replacement Parts / Belts, Hoses & Pulleys / Belt Tensioner"
"1021941";"Automobile / Replacement Parts / Belts, Hoses & Pulleys / Hoses"
"1022464";"Automobile / Replacement Parts / Filters / Air Filters & Accessories"
"1022476";"Automobile / Replacement Parts / Filters / Fuel Filters"
"1024530";"Baby Products / Apparel & Accessories / Baby Boys / Accessories"
"1024540";"Baby Products / Apparel & Accessories / Baby Boys / Clothing"
"1024616";"Baby Products / Apparel & Accessories / Baby Boys / Shoes"
